borough,closing,opening,station,transfer_segement,transfer_station_name,segment,station_name,line_designators,full_station_name,line,annual_ridership,fiscal_year,student_to_total,annual_ridership_student_adj
M,,1906-03-12,215 St,,,Upper Broadway,215 St,['1'],215 St (1),1,403307.0,1997,1.0637468361812454,429016.5452597496
M,,1907-01-14,Marble Hill-225 St,,,Upper Broadway,Marble Hill-225 St,['1'],Marble Hill-225 St (1),1,966058.0,1997,1.0637468361812454,1027641.1410675816
Bx,,1907-01-27,231 St,,,Upper Broadway,231 St,['1'],231 St (1),1,1915280.0,1997,1.0637468361812454,2037373.0404012157
Bx,,1909-05-01,238 St,,,Upper Broadway,238 St,['1'],238 St (1),1,697672.0,1997,1.0637468361812454,742146.3826922418
Bx,,1908-08-01,Van Cortlandt Park-242 St,,,Upper Broadway,Van Cortlandt Park-242 St,['1'],Van Cortlandt Park-242 St (1),1,1442078.0,1997,1.0637468361812454,1534005.910026578
M,,1904-11-23,Central Park North-110 St,,,Lenox Av,Central Park North-110 St,"['2', '3']","Central Park North-110 St (2,3)",2,1328077.0,1997,1.0637468361812454,1412737.70695508
M,,1904-11-23,Central Park North-110 St,,,Lenox Av,Central Park North-110 St,"['2', '3']","Central Park North-110 St (2,3)",3,1328077.0,1997,1.0637468361812454,1412737.70695508
M,,1904-11-23,116 St,,,Lenox Av,116 St,"['2', '3']","116 St (2,3)",2,1326390.0,1997,1.0637468361812454,1410943.1660424422
M,,1904-11-23,116 St,,,Lenox Av,116 St,"['2', '3']","116 St (2,3)",3,1326390.0,1997,1.0637468361812454,1410943.1660424422
M,,1904-11-23,125 St,,,Lenox Av,125 St,"['2', '3']","125 St (2,3)",2,2078244.0,1997,1.0637468361812454,2210725.479812656
M,,1904-11-23,125 St,,,Lenox Av,125 St,"['2', '3']","125 St (2,3)",3,2078244.0,1997,1.0637468361812454,2210725.479812656
M,,1904-11-23,135 St,,,Lenox Av,135 St,"['2', '3']","135 St (2,3)",2,2418163.0,1997,1.0637468361812454,2572313.240620549
M,,1904-11-23,135 St,,,Lenox Av,135 St,"['2', '3']","135 St (2,3)",3,2418163.0,1997,1.0637468361812454,2572313.240620549
M,,1904-11-23,145 St,,,Lenox Av,145 St,['3'],145 St (3),3,531571.0,1997,1.0637468361812454,565456.9694557008
M,,1968-05-13,Harlem-148 St,,,Lenox Av,Harlem-148 St,['3'],Harlem-148 St (3),3,440148.0,1997,1.0637468361812454,468206.0424515028
M,,1905-07-10,Bowling Green,,,Lexington Av (CBD),Bowling Green,"['4', '5']","Bowling Green (4,5)",4,5349969.0,1997,1.0637468361812454,5691012.597417741
M,,1905-07-10,Bowling Green,,,Lexington Av (CBD),Bowling Green,"['4', '5']","Bowling Green (4,5)",5,5349969.0,1997,1.0637468361812454,5691012.597417741
M,,1905-06-12,Wall St,,,Lexington Av (CBD),Wall St,"['4', '5']","Wall St (4,5)",4,4837739.0,1997,1.0637468361812454,5146129.555520622
M,,1905-06-12,Wall St,,,Lexington Av (CBD),Wall St,"['4', '5']","Wall St (4,5)",5,4837739.0,1997,1.0637468361812454,5146129.555520622
M,,1904-10-27,Spring St,,,Lexington Av (CBD),Spring St,['6'],Spring St (6),6,1826490.0,1997,1.0637468361812454,1942922.958816683
M,,1904-10-27,Astor Place,,,Lexington Av (CBD),Astor Place,['6'],Astor Place (6),6,4389635.0,1997,1.0637468361812454,4669460.343240461
M,,1904-10-27,23 St,,,Lexington Av (CBD),23 St,['6'],23 St (6),6,6266461.0,1997,1.0637468361812454,6665928.062803163
M,,1904-10-27,28 St,,,Lexington Av (CBD),28 St,['6'],28 St (6),6,5004561.0,1997,1.0637468361812454,5323585.930226049
M,,1904-10-27,33 St,,,Lexington Av (CBD),33 St,['6'],33 St (6),6,5594985.0,1997,1.0637468361812454,5951647.592231525
M,,1918-07-17,68 St-Hunter College,,,Lexington Av (Non-CBD),68 St-Hunter College,['6'],68 St-Hunter College (6),6,7912727.0,1997,1.0637468361812454,8417138.311815917
M,,1918-07-17,77 St,,,Lexington Av (Non-CBD),77 St,['6'],77 St (6),6,7950389.0,1997,1.0637468361812454,8457201.145160176
M,,1918-07-17,86 St,,,Lexington Av (Non-CBD),86 St,"['4', '5', '6']","86 St (4,5,6)",4,14204962.0,1997,1.0637468361812454,15110483.385574816
M,,1918-07-17,86 St,,,Lexington Av (Non-CBD),86 St,"['4', '5', '6']","86 St (4,5,6)",5,14204962.0,1997,1.0637468361812454,15110483.385574816
M,,1918-07-17,86 St,,,Lexington Av (Non-CBD),86 St,"['4', '5', '6']","86 St (4,5,6)",6,14204962.0,1997,1.0637468361812454,15110483.385574816
M,,1918-07-17,96 St,,,Lexington Av (Non-CBD),96 St,['6'],96 St (6),6,5140603.0,1997,1.0637468361812454,5468300.177313819
M,,1918-07-17,103 St,,,Lexington Av (Non-CBD),103 St,['6'],103 St (6),6,3061250.0,1997,1.0637468361812454,3256395.0022598375
M,,1918-07-17,110 St,,,Lexington Av (Non-CBD),110 St,['6'],110 St (6),6,2150663.0,1997,1.0637468361812454,2287760.961942066
M,,1918-07-17,116 St,,,Lexington Av (Non-CBD),116 St,['6'],116 St (6),6,2426466.0,1997,1.0637468361812454,2581145.5306013618
M,,1918-07-17,125 St,,,Lexington Av (Non-CBD),125 St,"['4', '5', '6']","125 St (4,5,6)",4,4073771.0,1997,1.0637468361812454,4333461.012576909
M,,1918-07-17,125 St,,,Lexington Av (Non-CBD),125 St,"['4', '5', '6']","125 St (4,5,6)",5,4073771.0,1997,1.0637468361812454,4333461.012576909
M,,1918-07-17,125 St,,,Lexington Av (Non-CBD),125 St,"['4', '5', '6']","125 St (4,5,6)",6,4073771.0,1997,1.0637468361812454,4333461.012576909
Bx,,1918-07-17,138 St-Grand Concourse,,,Jerome Av,138 St-Grand Concourse,"['4', '5']","138 St-Grand Concourse (4,5)",4,445668.0,1997,1.0637468361812454,474077.9249872233
Bx,,1918-07-17,138 St-Grand Concourse,,,Jerome Av,138 St-Grand Concourse,"['4', '5']","138 St-Grand Concourse (4,5)",5,445668.0,1997,1.0637468361812454,474077.9249872233
Bx,,1917-06-02,167 St,,,Jerome Av,167 St,['4'],167 St (4),4,1753767.0,1997,1.0637468361812454,1865564.0976490742
Bx,,1917-06-02,170 St,,,Jerome Av,170 St,['4'],170 St (4),4,1579301.0,1997,1.0637468361812454,1679976.4421278771
Bx,,1917-06-02,Mt Eden Av,,,Jerome Av,Mt Eden Av,['4'],Mt Eden Av (4),4,1138487.0,1997,1.0637468361812454,1211061.9442834775
Bx,,1917-06-02,176 St,,,Jerome Av,176 St,['4'],176 St (4),4,1083284.0,1997,1.0637468361812454,1152339.9276857644
Bx,,1917-06-02,Burnside Av,,,Jerome Av,Burnside Av,['4'],Burnside Av (4),4,2035168.0,1997,1.0637468361812454,2164903.5210973127
Bx,,1917-06-02,183 St,,,Jerome Av,183 St,['4'],183 St (4),4,1188854.0,1997,1.0637468361812454,1264639.6811814185
Bx,,1917-06-02,Fordham Rd,,,Jerome Av,Fordham Rd,['4'],Fordham Rd (4),4,2057867.0,1997,1.0637468361812454,2189049.510531791
Bx,,1917-06-02,Kingsbridge Rd,,,Jerome Av,Kingsbridge Rd,['4'],Kingsbridge Rd (4),4,1729051.0,1997,1.0637468361812454,1839272.5308460186
Bx,,1918-04-15,Bedford Park Blvd-Lehman College,,,Jerome Av,Bedford Park Blvd-Lehman College,['4'],Bedford Park Blvd-Lehman College (4),4,799572.0,1997,1.0637468361812454,850542.1852991108
Bx,,1918-04-15,Mosholu Pkwy,,,Jerome Av,Mosholu Pkwy,['4'],Mosholu Pkwy (4),4,1710785.0,1997,1.0637468361812454,1819842.131136332
Bx,,1918-04-15,Woodlawn,,,Jerome Av,Woodlawn,['4'],Woodlawn (4),4,1060299.0,1997,1.0637468361812454,1127889.7066561384
Bx,,1905-07-10,3 Av-149 St,,,White Plains Rd,3 Av-149 St,"['2', '5']","3 Av-149 St (2,5)",2,3706707.0,1997,1.0637468361812454,3942997.8439008757
Bx,,1905-07-10,3 Av-149 St,,,White Plains Rd,3 Av-149 St,"['2', '5']","3 Av-149 St (2,5)",5,3706707.0,1997,1.0637468361812454,3942997.8439008757
Bx,,1904-11-26,Jackson Av,,,White Plains Rd,Jackson Av,"['2', '5']","Jackson Av (2,5)",2,750365.0,1997,1.0637468361812454,798198.3947311402
Bx,,1904-11-26,Jackson Av,,,White Plains Rd,Jackson Av,"['2', '5']","Jackson Av (2,5)",5,750365.0,1997,1.0637468361812454,798198.3947311402
Bx,,1904-11-26,Prospect Av,,,White Plains Rd,Prospect Av,"['2', '5']","Prospect Av (2,5)",2,1115226.0,1997,1.0637468361812454,1186318.1291270657
Bx,,1904-11-26,Prospect Av,,,White Plains Rd,Prospect Av,"['2', '5']","Prospect Av (2,5)",5,1115226.0,1997,1.0637468361812454,1186318.1291270657
