Borough,Station,Line,Opening,Closing,Comments,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
MA,34 St-Herald Square,Broadway-60 St Line,1/5/1918,,See Manhattan CBD Transfer: 34 St-Herald Square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Times Square-42 St,Broadway-60 St Line,1/5/1918,,See Manhattan CBD Transfer: Times Sq-42 St/PABT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,49 St,Broadway-60 St Line,7/10/1919,,,5812799,6031133,6401271,6243226,6572871,6466074,6430346,6477866,4908427,4583995,4207002,4024824,3862756,3046190,2806601,3309328,3360278,3391287,3696502,3882800,3894119,3999668,3847513,3643083,3401975,3428339,3758443,4387970,4626977,3785042,3346478,2976357,3021691,3648273,4008288,4398222,4718127,4754875
MA,Midtown-57 St-7 Av,Broadway-60 St Line,7/10/1919,,,5882868,5913543,6256224,6340550,6878476,6947078,6775525,7053758,5932604,5682667,5481249,5445111,5421711,5404968,5223487,5076606,4941154,4789156,4988241,5308387,5218890,5384409,5411077,5566501,5407332,5552576,5933971,6729220,7082172,5301482,4808527,4046288,3972217,4190058,4611776,5459028,5555904,5556159
MA,5 Av-59 St,Broadway-60 St Line,9/1/1919,,,3895166,3879448,4098534,4028638,4169332,4041278,3893577,4172050,4136366,4242276,3802782,3775092,3825276,3886784,3846555,3726970,3743493,3915823,4078077,4222379,4028589,4056279,4008324,3889353,3632449,3467107,3454274,3507044,3688996,3401615,3077154,2610891,2537564,2954281,3187923,3109871,2750554,3204499
MA,Lexington Av,Broadway-60 St Line,9/1/1919,,See Manhattan CBD Transfer: Lexington Av/59 St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Broadway-60 St Line Total,Broadway-60 St Line,,,,39320524,39770131,41723073,40661399,42019443,40997388,40164924,41366574,36466850,35658717,32958023,31844337,30969621,29547936,28872947,28689612,27796048,27574045,28968184,30433359,29967339,31245374,31036448,31043663,29385344,29246033,30594391,33097012,34422355,31627614,29406273,26968971,27098515,29684173,32612614,35104467,36001981,36832467
MA,Broad St,Nassau St Line,5/30/1931,,,5860384,5780770,5825501,5552482,5580750,5400062,5388542,5897571,7236657,8071607,7559440,7113826,6582217,6041502,5585790,5374006,5241717,4982150,4631102,4771685,4925971,5316172,5238996,4836906,4410634,4074362,3643347,3332208,2493830,2730673,2475741,2207584,1949274,1794006,1661556,1499282,1472122,1565990
MA,Fulton St,Nassau St Line,5/30/1931,,See Manhattan CBD Transfer: Fulton St/Bway-Nassau St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Chambers St,Nassau St Line,8/4/1913,,See Manhattan CBD Transfer: Chambers St/Bklyn Bridge-City Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Canal St,Nassau St Line,8/4/1913,,See Manhattan CBD Transfer: Canal St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Bowery,Nassau St Line,8/4/1913,,,783888,729378,692700,648098,617820,551193,487939,484171,397834,338232,295548,283499,250023,219421,197622,174339,160501,151691,163909,161311,153510,160514,165103,163421,130136,159409,177570,176419,148818,102627,88355,75902,70989,84719,90019,105900,111129,113490
MA,Essex St,Nassau St Line,9/16/1908,,See Manhattan CBD Transfer: Delancey St/Essex St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nassau St Line Total,Nassau St Line,,,,6644272,6510148,6518201,6200580,6198570,5951255,5876481,6381742,7634491,8409839,7854988,7397325,6832240,6260923,5783412,5548345,5402218,5133841,4795011,4932996,5079481,5476686,5404099,5000327,4540770,4233771,3820917,3508627,2642648,2833300,2564096,2283486,2020263,1878725,1751575,1605182,1583250,1679480
MA,6 Av,14 St Line,6/30/1924,,See Manhattan CBD Transfer: 14 St/6 Av,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Union Square,14 St Line,6/30/1924,,See Manhattan CBD Transfer: 14 St-Union Square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,3 Av,14 St Line,6/30/1924,,,1019481,1024818,1084965,1064506,1042111,976923,920838,945602,929680,928814,924763,878702,829013,769966,691496,679103,592368,558319,550766,566524,559750,578521,561351,553521,534594,509676,514161,537732,540626,544783,539474,551194,545039,585471,634060,686954,760805,792628
MA,1 Av,14 St Line,6/30/1924,,,3205362,3202645,3563155,3310834,3253473,3062676,2932877,3123912,3010335,2957326,2927373,2890984,2874290,2762575,2540621,2451612,2308482,2264798,2420767,2467231,2345584,2342020,2234941,2284266,2233555,2216643,2198470,2398858,2549099,2538401,2586571,2640055,2794390,2995319,3243046,3312769,3248195,3157607
,14 St Line Total,14 St Line,,,,4224843,4227463,4648120,4375340,4295584,4039599,3853715,4069514,3940015,3886140,3852136,3769686,3703303,3532541,3232117,3130715,2900850,2823117,2971533,3033755,2905334,2920541,2796292,2837787,2768149,2726319,2712631,2936590,3089725,3083184,3126045,3191249,3339429,3580790,3877106,3999723,4009000,3950235
MA,Grand St,6 Ave Line,11/26/1967,,,,,,,,,,66498,1077757,1516533,1668774,1810651,1831848,1961690,2030540,2140799,2125811,2135376,2223865,2363212,2547445,2796816,2801026,2770623,2789774,2412564,1389555,722533,756472,4624795,5243225,5075725,5289389,5755653,5817270,4666600,5612871,6174421
MA,East Broadway,6 Ave Line,4/9/1936,,,3796158,3708378,3724246,3610523,3505268,3546796,3244333,3240134,3057706,3040109,2770182,2617271,2454360,2429089,2361187,2295189,2178700,2164080,2298876,2388818,2377538,2427777,2399381,2451123,2440651,2503488,2627492,2691206,2832373,2816415,2631953,2609260,2655665,2802809,2898705,3082513,2887510,2843678
MA,Delancey St,6 Ave Line,4/9/1936,,See Manhattan CBD Transfer: Delancey St/Essex St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Lower East Side-2 Av,6 Ave Line,1/1/1936,,,3095638,3079967,3230876,3114349,3036287,2998089,2725148,2725876,2582424,2615718,2444291,2327665,2188423,2112398,2066815,1938839,1743027,1683472,1787308,1868513,1779455,1786426,1777548,1866965,1653415,1611981,1592536,1634866,1651499,1714209,1676856,1732861,1896457,2097375,2318329,2432569,2453966,2594653
MA,Broadway-Lafayette St,6 Ave Line,1/1/1936,,See Manhattan CBD Transfer: Broadway-Lafayette St/Bleecker St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,West 4 St,6 Ave Line,1/1/1936,,See Manhattan CBD Transfer: West 4 St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,14 St,6 Ave Line,12/15/1940,,See Manhattan CBD Transfer: 14 St/6 Av,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,23 St,6 Ave Line,12/15/1940,,,7184708,7068979,6781837,6514017,6430238,6318794,5921758,6027718,5980148,6046495,5518190,5287339,5031037,4804786,4661619,4411832,4369076,4372852,4488923,4610892,4250620,4351915,4278899,4337724,4298733,4101597,3815211,3718762,3701919,4076313,3700814,3608437,3546848,3668487,3887324,3994253,4157933,4437578
MA,34 St-Herald Square,6 Ave Line,12/15/1940,,See Manhattan CBD Transfer: 34 St-Herald Square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,42 St,6 Ave Line,12/15/1940,,See Manhattan CBD Transfer: 42 St-Bryant Pk/5 Av,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,47-50 Sts-Rockefeller Center,6 Ave Line,12/15/1940,,,14749245,15369228,16014352,16137576,16541934,16584778,15833245,16630789,17532594,17649775,16249997,14878010,14996686,15084155,15263549,14796263,14667807,14903257,15687945,16475647,15622527,15928652,15532615,14754039,14186960,13517317,12456035,11573205,11254124,13209344,12827371,12091255,12202581,12784597,13692069,13313426,13706695,14364734
,6 Ave Line Total,6 Ave Line,,,,28825749,29226552,29751311,29376465,29513727,29448457,27724484,28691015,30230629,30868630,28651434,26920936,26502354,26392118,26383710,25582922,25084421,25259037,26486917,27707082,26577585,27291586,26789469,26180474,25369533,24146947,21880829,20340572,20196387,26441076,26080219,25117538,25590940,27108921,28613697,27489361,28818974,30415064
MA,Broadway-Nassau St,8 Ave Line,2/1/1933,,See Manhattan CBD Transfer: Fulton St/Bway-Nassau St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,World Trade Center,8 Ave Line,9/10/1932,,See Manhattan CBD Transfer: Chambers St-WTC/Park Pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Chambers St,8 Ave Line,2/1/1933,,See Manhattan CBD Transfer: Chambers St-WTC/Park Pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Canal St,8 Ave Line,9/10/1932,,,5344116,5317359,5264405,4939827,4886750,4673635,4273713,4221553,4161592,4175529,3895627,3536534,3407792,3641855,3148873,2879147,2834836,2871354,3026434,3131624,3354756,3196823,3121587,3041724,3121257,3178777,3226956,3159680,3219287,3211179,3279398,3185157,3409739,3580048,3818668,3816167,3767437,3770108
MA,Spring St,8 Ave Line,9/10/1932,,,2436677,2369242,2384790,2194851,2091878,2079031,1939447,1961346,2087329,2063359,1868102,1694997,1599470,1485683,1457088,1270251,1197541,1337329,1470006,1580842,1504939,1575938,1572530,1588042,1580258,1562521,1518686,1485013,1456740,1477015,1464048,1389509,1498700,1591557,1676440,1760892,1868601,2000810
MA,West 4 St,8 Ave Line,9/10/1932,,See Manhattan CBD Transfer: West 4 St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,14 St,8 Ave Line,9/10/1932,,See Manhattan CBD Transfer: 14 St/8 Av,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,23 St,8 Ave Line,9/10/1932,,,4738055,4533427,4874194,4871626,4777151,4763488,4389392,4431501,4457278,4456720,4032296,3686306,3357421,3184989,3060103,2889736,2733902,2980522,3232489,3364695,3245839,3339288,3168252,3137406,3063007,2988181,2869875,2856408,2922317,2759187,3006672,3040089,3163437,3385232,3671852,3755532,3882399,4039819
MA,34 St-Penn Station,8 Ave Line,9/10/1932,,,17544600,17375615,17662906,16862238,16841354,16097839,15075150,15859755,17098538,17959295,16617536,15734389,14290445,13784539,13583634,13015194,12650958,13057750,13961266,14601061,14898139,15489540,15167623,15651276,16038257,16066777,16131569,16104000,16454925,15119907,15556834,15419048,15500307,16286299,17239806,17482488,17731136,18529165
MA,42 St-Port Authority Bus Terminal,8 Ave Line,9/10/1932,,See Manhattan CBD Transfer: Times Sq-42 St/PABT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,50 St,8 Ave Line,9/10/1932,,,5545372,5461048,5706159,5290247,5174962,4933665,4448628,4570451,3993003,3911492,3512163,3251717,2910530,2702385,2630193,2474230,2293550,2232848,2466256,2570813,2537735,2584873,2498556,2434428,2400826,2358239,2238260,2189387,2313813,2164324,2551683,2579689,2736138,2852721,3157001,3339373,3416466,3554127
,8 Ave Line Total,8 Ave Line,,,,35608820,35056691,35892454,34158789,33772095,32547658,30126330,31044606,31797740,32566395,29925724,27903943,25565658,24799451,23879891,22528558,21710787,22479803,24156451,25249035,25541408,26186462,25528548,25852876,26203605,26154495,25985346,25794488,26367082,24731612,25858635,25613492,26308321,27695857,29563767,30154452,30666038,31894029
MA,7 Av,53 St Line,8/19/1933,,,2393982,2437754,2711203,2931586,3116369,3410668,3120339,3297598,3504762,3777354,3674038,3552789,3368110,3360051,3373943,3310829,3250275,3237604,3231862,3380559,3325586,3373587,3365941,3286379,3343612,3178545,2869746,2676243,2582674,2853449,2981741,2881037,2993984,2902540,2933503,2845269,3071470,3329650
MA,5 Av-53 St,53 St Line,8/19/1933,,,7967811,8650749,9306131,9210143,9287107,9135587,8618092,9192418,9638504,9713934,8981508,7933082,7390158,7619857,7701115,7236005,7190734,7533661,7939398,8324240,7943721,8239891,8321114,8336372,8633192,8399308,8442382,8371061,8362620,8343082,8044005,7466219,7311291,7366328,7816919,7833117,8348503,7547442
MA,Lexington Av,53 St Line,8/19/1933,,See Manhattan CBD Transfer: Lexington Av-53 St/51 St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53 St Line Total,53 St Line,,,,10361793,11088503,12017334,12141729,12403476,12546255,11738431,12490016,13143266,13491288,12655546,11485871,10758268,10979908,11075058,10546834,10441009,10771265,11171260,11704799,11269307,11613478,11687055,11622751,11976804,11577853,11312128,11047304,10945294,11196531,11025746,10347256,10305275,10268868,10750422,10678386,11419973,10877092
MA,57 St,63 St Line (Manhattan),7/1/1968,,,,,,,,,,,563531,1504288,1510334,1502944,1587336,1625968,1656373,1624944,1553450,1450785,1500483,1601398,1555185,1590758,1497304,1378425,1280345,1075055,877580,773796,769053,1311778,1418020,1421056,1474506,1598677,1780405,1429833,1748483,1966491
MA,Lexington Av-63 St,63 St Line (Manhattan),10/29/1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76051,622423,787436,896276,1020916,1158183,1125039,1230943,1277586
MA,Roosevelt Island,63 St Line (Manhattan),10/29/1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134361,924438,1044443,1087465,1204189,1276672,1201827,1202183,1216701
,63 St Line (Manhattan) Total,63 St Line (Manhattan),,,,,,,,,,,,563531,1504288,1510334,1502944,1587336,1625968,1656373,1624944,1553450,1450785,1500483,1601398,1555185,1590758,1497304,1378425,1280345,1075055,877580,773796,769053,1522190,2964881,3252935,3458247,3823782,4215259,3756699,4181609,4460778
MA,59 St-Columbus Circle,8 Ave/Central Park West Line,9/10/1932,,See Manhattan CBD Transfer: 59 St-Columbus Circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,72 St,8 Ave/Central Park West Line,9/10/1932,,,1833258,1798404,1895709,1746458,1709705,1708207,1615855,1705385,1793532,1793931,1651471,1504012,1357666,1290474,1255694,1191473,1123618,1104685,1177230,1195858,1152860,1201682,1140859,1120108,1048997,985573,895468,835262,846300,851847,950724,903279,973057,1105411,1309440,1365714,1409121,1449118
MA,81 St-Museum of Natural History,8 Ave/Central Park West Line,9/10/1932,,,2381313,2375708,2518696,2387724,2313359,2283500,2079781,2182099,2231520,2280151,2041507,1895036,1778964,1693145,1667399,1603161,1467727,1473573,1587477,1665774,1549934,1567952,1496175,1489544,1437336,1357710,1327240,1297358,1307008,1325098,1359881,1291488,1367378,1474379,1699591,1865504,1862400,1929104
MA,86 St,8 Ave/Central Park West Line,9/10/1932,,,2942270,2814175,2870179,2617523,2491165,2345369,2101079,2122180,2093137,2056112,1866825,1806765,1673730,1636402,1689418,1662281,1566832,1507338,1596010,1631245,1560164,1596769,1489597,1434232,1341113,1296462,1256035,1218042,1209426,1241647,1322296,1243349,1444653,1575500,1699584,1760440,1771916,1796054
MA,96 St,8 Ave/Central Park West Line,9/10/1932,,,1707253,1822233,2029800,1767858,1553086,1491921,1364384,1463100,1540277,1652699,1573567,1556247,1502944,1505888,1541897,1468422,1411744,1399109,1473673,1467915,1400437,1447584,1352207,1299288,1214557,1152191,1068131,1020124,1000157,984728,1061426,1042762,1116517,1201653,1331962,1424667,1474808,1536809
MA,103 St,8 Ave/Central Park West Line,9/10/1932,,,1375140,1332902,1351740,1246991,1221188,1146493,1008429,1018494,1023132,1033852,987165,966734,900932,876076,845903,801788,730075,715178,722289,720402,717608,748460,716475,722717,711842,700066,698516,706183,669564,621908,673132,654817,683135,730934,806275,865646,894268,908675
MA,Cathedral Pkwy-110 St,8 Ave/Central Park West Line,9/10/1932,,,2202207,2150639,2218315,2067147,1972806,1868830,1717521,1731020,1727602,1757279,1668749,1523422,1348660,1238675,1166361,1021556,881134,771788,720055,710055,693955,699200,653697,653671,633277,623855,592482,604658,644165,714512,748379,775017,844465,907079,1044992,1108846,1172166,1167040
MA,116 St,8 Ave/Central Park West Line,9/10/1932,,,2712698,2650188,2696086,2476678,2338153,2218566,1931845,1894292,1820268,1796947,1593608,1484012,1296602,1220493,1236520,1023375,882467,738465,696084,757208,713557,711840,661175,613445,515375,475554,409224,382173,405399,381913,331090,354988,434769,517165,628458,733197,761856,804906
MA,125 St,8 Ave/Central Park West Line,9/10/1932,,,8699190,8518533,8696902,8231828,7820090,7438979,6699546,6678368,6574009,6465594,5812239,5535539,5085372,4852284,4768228,4500604,4115270,3836792,3898438,3956446,3849013,4142072,3928184,3865484,3571538,3449764,3291030,3290387,3250053,3010205,2774589,2771632,3154808,3490090,3767677,3776891,3736737,3785629
MA,135 St,8 Ave/Central Park West Line,9/10/1932,,,2493156,2421622,2481771,2223044,2072974,1954577,1714281,1639672,1567406,1536135,1332076,1229896,1098311,1012912,965979,889365,808682,743351,714697,687685,657604,681827,600554,553488,492588,455260,452556,429676,402170,366990,357301,373656,394617,436733,493573,536287,555541,541177
MA,145 St,8 Ave/Central Park West Line,9/10/1932,,,6935897,6757870,6920150,6392194,6159514,5995539,5527939,5544928,5441971,5332907,4850948,4659191,4410465,4291618,4162767,3944477,3670295,3497515,3508276,3582963,3562460,3800499,3807738,3995255,3892812,3869877,3771064,3751826,3631058,3339615,3133512,3057007,3119381,3336052,3618448,3775067,3766429,3782570
,8 Ave/Central Park West Line Total,8 Ave/Central Park West Line,,,,33282382,32642274,33679348,31157445,29652040,28451981,25760660,25979538,25812854,25705607,23378155,22160854,20453646,19617967,19300166,18106502,16657844,15787794,16094229,16375551,15857592,16597885,15846661,15747232,14859435,14366312,13761746,13535689,13365300,12838463,12712330,12467995,13532780,14774996,16399998,17212259,17405242,17701082
MA,155 St,Washington Heights Line,9/10/1932,,,1513530,1457481,1557489,1423013,1326196,1262032,1147476,1188441,1210818,1209324,1116665,1031532,946684,880670,823235,754347,669373,592935,593382,567240,545392,552976,511278,496837,460759,430055,407359,407702,387180,374739,368642,374209,410737,437483,479173,488341,475754,486019
MA,163 St-Amsterdam Av,Washington Heights Line,9/10/1932,,,1875739,1878501,1943778,1764677,1658992,1602498,1458864,1516612,1551802,1567766,1483100,1415132,1335846,1249192,1188224,1116440,1045025,975779,997810,1004269,969308,973586,892939,883358,844813,778984,730798,705916,627797,586047,508623,602858,642928,690598,756700,755973,740180,714831
MA,168 St-Washington Heights,Washington Heights Line,9/10/1932,,See Upper Manhattan/Bronx Transfer: 168 St-Washington Heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,175 St,Washington Heights Line,9/10/1932,,,6305652,6146356,6002434,6864537,6351605,6100452,5624022,6497750,6637825,6571070,5967335,5444158,5089316,4835660,4730573,4451434,4190789,4012314,4185155,4205859,3943211,3921241,3736701,3802326,3582584,3427916,3333035,3283125,3193060,2946042,2696266,2536652,2474744,2527803,2687520,2757357,2702596,2703827
MA,181 St,Washington Heights Line,9/10/1932,,,3227413,3201483,3243023,3008180,2860923,2735491,2542499,2612096,2623157,2601572,2407912,2343551,2273496,2220449,2229630,2142975,2050702,2002364,2062727,2156718,2139747,2182678,2099896,2141788,2135658,2126857,2135835,2051656,2051342,1953308,1912068,1845938,1825185,1980445,2128921,2174899,2186090,2266030
MA,190 St,Washington Heights Line,9/10/1932,,,1238816,1243897,1298426,1235244,1200051,1164440,1089199,1121130,1132805,1134572,1039879,999001,973000,951892,971396,937789,894880,873363,905853,923958,912642,956649,918393,925318,891397,898087,912435,860972,864948,788803,762161,728661,718551,750404,825570,848799,851779,862945
MA,Dyckman St,Washington Heights Line,9/10/1932,,,2279205,2275747,2325890,2150286,2076916,2032872,1892940,1952563,1916287,1904311,1749799,1704494,1665079,1638302,1654050,1612130,1555741,1519123,1595736,1673892,1626065,1723812,1694353,1752055,1643605,1631268,1610065,1534118,1550069,1401834,1349752,1305647,1310542,1406088,1540193,1547542,1510789,1519278
MA,Inwood-207 St,Washington Heights Line,9/10/1932,,,3318600,2919120,2673700,2910884,2876926,2867155,2739933,2801768,2745884,2615887,2318588,2140788,2064761,2068820,2184267,2009763,1933156,1920060,2010643,2058108,2012474,2121181,2090867,2157454,2069095,2034220,1963222,1775149,1748618,1566120,1487063,1393101,1372220,1465342,1589172,1590793,1539392,1542969
,Washington Heights Line Total,Washington Heights Line,,,,19758955,19122585,19044740,19356821,18351609,17764940,16494933,17690360,17818578,17604502,16083278,15078656,14348182,13844985,13781375,13024878,12339666,11895938,12351306,12590044,12148839,12432123,11944427,12159136,11627911,11327387,11092749,10618638,10423014,9616893,9084575,8787066,8754907,9258163,10007249,10163704,10006580,10095899
MA,155 St,Concourse Line,7/1/1933,,,1266226,1313112,1808984,1781951,1078420,1014315,965134,967483,1160875,1429624,1274954,1191960,1139560,1108399,1063209,994718,920557,896005,898760,922744,875549,926863,875974,856432,738824,687966,736445,765359,749060,659526,579253,625452,624923,686584,713792,747117,728832,732336
BX,161 St-Yankee Stadium,Concourse Line,7/1/1933,,See Upper Manhattan/Bronx Transfer: 161 St-Yankee Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BX,167 St,Concourse Line,7/1/1933,,,3879541,3876053,3926030,3783555,3667816,3588699,3279646,3396347,3389462,3420497,3209778,3071994,2865435,2734863,2640696,2443704,2195235,1986185,1947081,1916498,1733486,1745825,1655126,1680298,1682368,1636185,1594408,1587511,1628030,1571508,1433752,1439160,1480367,1616636,1764360,1783371,1794218,1792762
BX,170 St,Concourse Line,7/1/1933,,,3171661,3117992,3171773,3017838,2917723,2882700,2629305,2655425,2573865,2591211,2411762,2337688,2227713,2203109,2161487,2028006,1841034,1626393,1547603,1458818,1349401,1359511,1236831,1251837,1207747,1176802,1147272,1123874,1130849,1082783,1049300,1028334,1078928,1191314,1276203,1275833,1282556,1304526
BX,174-175 Sts,Concourse Line,7/1/1933,,,2082694,2072393,2161580,2086310,2000926,1952504,1777846,1838014,1821787,1866561,1745860,1661864,1570974,1530132,1501034,1419207,1329085,1205535,1223358,1194261,1098358,1100893,1037864,1036471,1042501,1007498,976153,951234,957930,955833,927761,856972,897856,1032869,1100727,1112626,1143148,1092813
BX,Tremont Av,Concourse Line,7/1/1933,,,4344143,4344173,4330256,4072991,3822030,3629098,3248710,3197132,3079678,3121655,2922910,2741372,2562728,2571594,2535588,2375879,2173866,2062460,2021930,1968162,1845471,1928489,1876126,1948997,1933570,1856097,1782820,1733909,1672611,1627670,1522375,1559149,1464237,1550809,1641138,1652289,1614700,1631669
BX,182-183 Sts,Concourse Line,7/1/1933,,,2289800,2274020,2306109,2186718,2069628,2027950,1816545,1836014,1779947,1779729,1659994,1600883,1432549,1415993,1422774,1358789,1279542,1189103,1224497,1235780,1134503,1160200,1151623,1175748,1177166,1141473,1096927,1088841,1092360,1056657,975436,887514,945832,1015532,1077243,1117069,1097007,1080819
BX,Fordham Rd,Concourse Line,7/1/1933,,,4318003,4434511,4500978,4205375,3971974,3820826,3396314,3427212,3385873,3419583,3141452,2955289,2846193,2902881,2898549,2763175,2549016,2454017,2568211,2640645,2554483,2661245,2624585,2712133,2791787,2543885,2475109,2364214,2319894,2279745,2135872,2094376,2064373,2210827,2492098,2573936,2504335,2391824
BX,Kingsbridge Rd,Concourse Line,7/1/1933,,,2699419,2705904,2712757,2551172,2412826,2302990,2097828,2100743,2052157,2055589,1912062,1784979,1715574,1713263,1775913,1751321,1706099,1632783,1730525,1849388,1762682,1868354,1885494,1980144,1781158,1868076,1788383,1705777,1639132,1647905,1555509,1571377,1576811,1654777,1740574,1750181,1769057,1747370
BX,Bedford Park Blvd,Concourse Line,7/1/1933,,,2314068,2388301,2431228,2292895,2194979,2140073,1964659,2025241,2015614,2042622,1878498,1772445,1731705,1747848,1860415,1764668,1706595,1650004,1664290,1655197,1547165,1594217,1604473,1664406,1501456,1345060,1250916,1165520,1108520,1083945,1061894,1046580,1106537,1184382,1281380,1271761,1253994,1270256
BX,Norwood-205 St,Concourse Line,7/1/1933,,,4565970,4541117,4438186,4297045,4044413,3913665,3519565,3527892,3505394,3633281,3584008,3328948,3070086,3040637,2991913,2764844,2578470,2442894,2423467,2394046,2221749,2246534,2230024,2290234,2190446,2091996,1981981,1847961,1711396,1612630,1512674,1422248,1417864,1497400,1641977,1665264,1676668,1697852
,Concourse Line Total,Concourse Line,,,,30931525,31067576,31787881,30275850,28180735,27272820,24695552,24971503,24764652,25360352,23741278,22447422,21162517,20968719,20851578,19664311,18279499,17145379,17249722,17235539,16122847,16592131,16178120,16596700,16047023,15355038,14830414,14334200,14009782,13578202,12753826,12531162,12657728,13641130,14729493,14949447,14864515,14742227
MA,Park Row Terminal,Brooklyn Bridge (Manhattan),,3/5/1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,South Ferry Terminal,9 Ave Elevated Line (CBD),,,See 3 Av Elevated Line: South Ferry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Battery Pl,9 Ave Elevated Line (CBD),,6/11/1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Rector St,9 Ave Elevated Line (CBD),,6/11/1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Cortlandt St,9 Ave Elevated Line (CBD),,6/11/1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Barclay St,9 Ave Elevated Line (CBD),,6/11/1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Warren St,9 Ave Elevated Line (CBD),,6/11/1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Franklin St,9 Ave Elevated Line (CBD),,6/11/1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Desbrosses St,9 Ave Elevated Line (CBD),,6/11/1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Houston St,9 Ave Elevated Line (CBD),,6/11/1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Christopher St,9 Ave Elevated Line (CBD),,6/11/1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,14 St,9 Ave Elevated Line (CBD),,6/11/1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,23 St,9 Ave Elevated Line (CBD),,6/11/1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,30 St,9 Ave Elevated Line (CBD),,6/11/1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,34 St,9 Ave Elevated Line (CBD),,6/11/1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,42 St,9 Ave Elevated Line (CBD),,6/11/1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,50 St,9 Ave Elevated Line (CBD),,6/11/1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,59 St,9 Ave Elevated Line (CBD),,6/11/1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,South Ferry  Terminal,6 Ave Elevated Line,,,See 3 Av Elevated Line: South Ferry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Battery Pl,6 Ave Elevated Line,,,See 9 Av Elevated Line: Battery Pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
