Borough,Station,Line,Opening,Closing,Comments,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
,Broadway/7 Ave Line (CBD) Total,Broadway/7 Ave Line (CBD),,,,63451824,64889925,66325821,64540950,65676593,62922151,59661096,61846714,63052253,65091088,58935442,55296131,51408517,49490006,48200489,46002611,44412590,44318209,45699901,46426531,45566130,43857753,41943692,44230738,44813449,45494198,49990256,54842552,58535241,60226628,54876357,53187244,51398683,50806559,52662959,52854754,55478231,57023178
MA,66 St-Lincoln Center,Broadway/7 Ave Line (Non-CBD),10/27/1904,,,2257240,2325240,2753155,2788283,3066936,3145856,3281569,3769769,3699690,3621226,3422930,3388011,3294026,3170506,3195966,3080491,2900271,2810087,3082281,3156701,2864046,2721265,2464673,2513941,2537160,2604239,2849574,3283814,3624418,3802228,3287908,3062790,2988891,3114587,3414872,3623849,3921194,4192746
MA,72 St,Broadway/7 Ave Line (Non-CBD),10/27/1904,,,7149908,7203548,7639278,7472407,7536789,7317016,6734335,6978785,7078617,7209982,6717017,6393351,6172905,6189723,6150840,5923229,5702640,5730372,6106818,6321871,6196678,6321329,6174191,6325439,6501156,6657350,7091977,7588887,7900270,7875862,7634672,7612048,7771752,7968864,8233837,8675876,8804571,8825757
MA,79 St,Broadway/7 Ave Line (Non-CBD),10/27/1904,,,3537685,3550321,3827165,3687830,3713881,3637533,3444868,3632654,3671289,3816742,3462462,3351848,3142134,2997914,3003329,2941908,2815477,2811802,2944287,2993831,2778565,2669046,2522302,2712163,2737654,2763757,3107005,3444088,3587501,3594092,3298215,3230683,3305804,3419185,3785400,3936748,3967906,4013559
MA,86 St,Broadway/7 Ave Line (Non-CBD),10/27/1904,,,4997692,5049408,5341069,5075800,5053169,4743721,4288885,4497154,4439199,4496812,4092450,3920625,3829106,3728038,3737640,3574027,3456273,3496745,3689880,3745962,3498440,3319558,3106626,3193496,3173135,3253005,3560185,4023076,4250956,4404689,4152674,4047303,4089947,4175068,4381947,4489309,4621975,4634393
MA,91 St,Broadway/7 Ave Line (Non-CBD),10/27/1904,2/2/1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,96 St,Broadway/7 Ave Line (Non-CBD),10/27/1904,,,7897947,7870466,8144629,7825345,7483040,7209096,6668805,7045633,7305680,7804440,7618937,7525390,7139132,6809033,6784719,6524636,6218791,6234121,6738659,6991799,6815993,6948756,6804273,7156634,7182869,7392052,7602775,8053172,8330881,8445763,8093702,7891473,7849039,7992268,8224185,8475540,8553758,8539737
,Broadway/7 Ave Line (Non-CBD) Total,Broadway/7 Ave Line (Non-CBD),,,,25840472,25998983,27705296,26849665,26853815,26053222,24418462,25923995,26194475,26949202,25313796,24579225,23577303,22895214,22872494,22044291,21093452,21083127,22561925,23210164,22153722,21979954,21072065,21901673,22131974,22670403,24211516,26393037,27694026,28122634,26467171,25844297,26005433,26669972,28040241,29201322,29869404,30206192
MA,103 St,Upper Broadway Line,10/27/1904,,,3615367,3573533,3870581,3766111,3771507,3720229,3508795,3658999,3744103,3891695,3690564,3496872,3335932,3176376,3136161,3022479,2839625,2764934,2812177,2809940,2600469,2415603,2311939,2447511,2415268,2347923,2535515,2617560,2848629,2752802,2392038,2595930,2755314,2853778,3010727,3166125,3276885,3294388
MA,Cathedral Pkwy-110 St,Upper Broadway Line,10/27/1904,,,3359226,3436929,3686375,3521830,3537967,3408836,3173367,3296978,3371056,3520381,3351589,3349694,3166646,3083837,3122236,2984440,2840396,2770282,2963430,3080741,2910180,2821642,2704938,2759710,2760158,2686069,2908164,3046508,3237337,3170132,2831603,2779157,3049592,3105691,3236810,3204475,3327156,3397677
MA,116 St-Columbia University,Upper Broadway Line,10/27/1904,,,3437356,3484399,3608921,3558763,3617748,3493514,3182423,3327064,3280178,3424776,3200904,3104900,3034358,2848637,2972674,2932156,2773232,2777094,2907658,3045398,2962991,2871802,2732547,2771603,2755820,2714650,2852536,3048258,3200404,3076622,2879835,2842410,2994544,3129381,3262128,3271386,3368898,3348605
MA,125 St,Upper Broadway Line,10/27/1904,,,2070601,2277148,2519381,2440156,2472027,2358679,2126095,2164566,2179307,2264142,2143218,2016306,1911048,1824624,1764577,1606613,1486200,1408709,1420407,1458567,1380894,1307008,1166339,1246648,1188935,1164622,1291879,1391103,1421194,1453711,1351074,1309323,1315491,1414395,1522751,1554238,1640582,1657163
