borough,segment,full_station_name,transfer_segment,transfer_station_name,line_designators,station_name,line,annual_ridership,year
M,Lexington Av (Non-CBD),"86 St (4,5,6)",,,"['4', '5', '6']",86 St,4,19432701.0,2008
M,Lexington Av (Non-CBD),"86 St (4,5,6)",,,"['4', '5', '6']",86 St,5,19432701.0,2008
M,Lexington Av (Non-CBD),"86 St (4,5,6)",,,"['4', '5', '6']",86 St,6,19432701.0,2008
M,Lexington Av (Non-CBD),96 St (6),,,['6'],96 St,6,7470326.0,2008
M,Lexington Av (Non-CBD),103 St (6),,,['6'],103 St,6,4573700.0,2008
M,Lexington Av (Non-CBD),110 St (6),,,['6'],110 St,6,3626056.0,2008
M,Lexington Av (Non-CBD),116 St (6),,,['6'],116 St,6,4798220.0,2008
M,Lexington Av (Non-CBD),"125 St (4,5,6)",,,"['4', '5', '6']",125 St,4,8681735.0,2008
M,Lexington Av (Non-CBD),"125 St (4,5,6)",,,"['4', '5', '6']",125 St,5,8681735.0,2008
M,Lexington Av (Non-CBD),"125 St (4,5,6)",,,"['4', '5', '6']",125 St,6,8681735.0,2008
Bx,Jerome Av,"138 St-Grand Concourse (4,5)",,,"['4', '5']",138 St-Grand Concourse,4,864369.0,2008
Bx,Jerome Av,"138 St-Grand Concourse (4,5)",,,"['4', '5']",138 St-Grand Concourse,5,864369.0,2008
Bx,Jerome Av,167 St (4),,,['4'],167 St,4,2876058.0,2008
Bx,Jerome Av,170 St (4),,,['4'],170 St,4,2735272.0,2008
Bx,Jerome Av,Mt Eden Av (4),,,['4'],Mt Eden Av,4,1607256.0,2008
Bx,Jerome Av,176 St (4),,,['4'],176 St,4,1604117.0,2008
Bx,Jerome Av,Burnside Av (4),,,['4'],Burnside Av,4,3241959.0,2008
Bx,Jerome Av,183 St (4),,,['4'],183 St,4,1864350.0,2008
Bx,Jerome Av,Fordham Rd (4),,,['4'],Fordham Rd,4,3643168.0,2008
Bx,Jerome Av,Kingsbridge Rd (4),,,['4'],Kingsbridge Rd,4,2754063.0,2008
Bx,Jerome Av,Bedford Park Blvd-Lehman College (4),,,['4'],Bedford Park Blvd-Lehman College,4,1719816.0,2008
Bx,Jerome Av,Mosholu Pkwy (4),,,['4'],Mosholu Pkwy,4,2539286.0,2008
Bx,Jerome Av,Woodlawn (4),,,['4'],Woodlawn,4,2051564.0,2008
Bx,White Plains Rd,"3 Av-149 St (2,5)",,,"['2', '5']",3 Av-149 St,2,7393330.0,2008
Bx,White Plains Rd,"3 Av-149 St (2,5)",,,"['2', '5']",3 Av-149 St,5,7393330.0,2008
Bx,White Plains Rd,"Jackson Av (2,5)",,,"['2', '5']",Jackson Av,2,1600588.0,2008
Bx,White Plains Rd,"Jackson Av (2,5)",,,"['2', '5']",Jackson Av,5,1600588.0,2008
Bx,White Plains Rd,"Prospect Av (2,5)",,,"['2', '5']",Prospect Av,2,2335593.0,2008
Bx,White Plains Rd,"Prospect Av (2,5)",,,"['2', '5']",Prospect Av,5,2335593.0,2008
Bx,White Plains Rd,"Intervale Av (2,5)",,,"['2', '5']",Intervale Av,2,870362.0,2008
Bx,White Plains Rd,"Intervale Av (2,5)",,,"['2', '5']",Intervale Av,5,870362.0,2008
Bx,White Plains Rd,"Simpson St (2,5)",,,"['2', '5']",Simpson St,2,2974529.0,2008
Bx,White Plains Rd,"Simpson St (2,5)",,,"['2', '5']",Simpson St,5,2974529.0,2008
Bx,White Plains Rd,"Freeman St (2,5)",,,"['2', '5']",Freeman St,2,1150491.0,2008
Bx,White Plains Rd,"Freeman St (2,5)",,,"['2', '5']",Freeman St,5,1150491.0,2008
Bx,White Plains Rd,"174 St (2,5)",,,"['2', '5']",174 St,2,2159617.0,2008
Bx,White Plains Rd,"174 St (2,5)",,,"['2', '5']",174 St,5,2159617.0,2008
Bx,White Plains Rd,"West Farms Sq-East Tremont Av (2,5)",,,"['2', '5']",West Farms Sq-East Tremont Av,2,2366256.0,2008
Bx,White Plains Rd,"West Farms Sq-East Tremont Av (2,5)",,,"['2', '5']",West Farms Sq-East Tremont Av,5,2366256.0,2008
Bx,White Plains Rd,"East 180 St (2,5)",,,"['2', '5']",East 180 St,2,2041507.0,2008
Bx,White Plains Rd,"East 180 St (2,5)",,,"['2', '5']",East 180 St,5,2041507.0,2008
Bx,White Plains Rd,"Bronx Park East (2,5)",,,"['2', '5']",Bronx Park East,2,880102.0,2008
Bx,White Plains Rd,"Bronx Park East (2,5)",,,"['2', '5']",Bronx Park East,5,880102.0,2008
Bx,White Plains Rd,"Pelham Pkwy (2,5)",,,"['2', '5']",Pelham Pkwy,2,2514944.0,2008
Bx,White Plains Rd,"Pelham Pkwy (2,5)",,,"['2', '5']",Pelham Pkwy,5,2514944.0,2008
Bx,White Plains Rd,"Allerton Av (2,5)",,,"['2', '5']",Allerton Av,2,1625023.0,2008
Bx,White Plains Rd,"Allerton Av (2,5)",,,"['2', '5']",Allerton Av,5,1625023.0,2008
Bx,White Plains Rd,"Burke Av (2,5)",,,"['2', '5']",Burke Av,2,1047965.0,2008
Bx,White Plains Rd,"Burke Av (2,5)",,,"['2', '5']",Burke Av,5,1047965.0,2008
Bx,White Plains Rd,"Gun Hill Rd (2,5)",,,"['2', '5']",Gun Hill Rd,2,1864323.0,2008
Bx,White Plains Rd,"Gun Hill Rd (2,5)",,,"['2', '5']",Gun Hill Rd,5,1864323.0,2008
Bx,White Plains Rd,"219 St (2,5)",,,"['2', '5']",219 St,2,926893.0,2008
Bx,White Plains Rd,"219 St (2,5)",,,"['2', '5']",219 St,5,926893.0,2008
Bx,White Plains Rd,"225 St (2,5)",,,"['2', '5']",225 St,2,1173697.0,2008
Bx,White Plains Rd,"225 St (2,5)",,,"['2', '5']",225 St,5,1173697.0,2008
Bx,White Plains Rd,"233 St (2,5)",,,"['2', '5']",233 St,2,1485276.0,2008
Bx,White Plains Rd,"233 St (2,5)",,,"['2', '5']",233 St,5,1485276.0,2008
Bx,White Plains Rd,"Nereid Av (2,5)",,,"['2', '5']",Nereid Av,2,929559.0,2008
Bx,White Plains Rd,"Nereid Av (2,5)",,,"['2', '5']",Nereid Av,5,929559.0,2008
Bx,White Plains Rd,Wakefield-241 St (2),,,['2'],Wakefield-241 St,2,1344876.0,2008
Bx,Dyre Av,Morris Park (5),,,['5'],Morris Park,5,570262.0,2008
Bx,Dyre Av,Pelham Pkwy (5),,,['5'],Pelham Pkwy,5,870544.0,2008
Bx,Dyre Av,Gun Hill Rd (5),,,['5'],Gun Hill Rd,5,1817798.0,2008
Bx,Dyre Av,Baychester Av (5),,,['5'],Baychester Av,5,1168224.0,2008
Bx,Dyre Av,Eastchester-Dyre Av (5),,,['5'],Eastchester-Dyre Av,5,1251842.0,2008
Bx,Pelham,3 Av-138 St (6),,,['6'],3 Av-138 St,6,2159647.0,2008
Bx,Pelham,Brook Av (6),,,['6'],Brook Av,6,1915123.0,2008
Bx,Pelham,Cypress Av (6),,,['6'],Cypress Av,6,1136278.0,2008
Bx,Pelham,East 143 St-St Mary's St (6),,,['6'],East 143 St-St Mary's St,6,264788.0,2008
Bx,Pelham,East 149 St (6),,,['6'],East 149 St,6,1393227.0,2008
Bx,Pelham,Longwood Av (6),,,['6'],Longwood Av,6,1042782.0,2008
Bx,Pelham,Hunts Point Av (6),,,['6'],Hunts Point Av,6,3255048.0,2008
Bx,Pelham,Whitlock Av (6),,,['6'],Whitlock Av,6,475282.0,2008
Bx,Pelham,Elder Av (6),,,['6'],Elder Av,6,2077064.0,2008
Bx,Pelham,Morrison Av-Soundview (6),,,['6'],Morrison Av-Soundview,6,2025425.0,2008
Bx,Pelham,St Lawrence Av (6),,,['6'],St Lawrence Av,6,1297041.0,2008
Bx,Pelham,Parkchester (6),,,['6'],Parkchester,6,4720570.0,2008
Bx,Pelham,Castle Hill Av (6),,,['6'],Castle Hill Av,6,2155897.0,2008
Bx,Pelham,Zerega Av (6),,,['6'],Zerega Av,6,736708.0,2008
Bx,Pelham,Westchester Sq-East Tremont Av (6),,,['6'],Westchester Sq-East Tremont Av,6,1883509.0,2008
Bx,Pelham,Middletown Rd (6),,,['6'],Middletown Rd,6,526567.0,2008
Bx,Pelham,Buhre Av (6),,,['6'],Buhre Av,6,888854.0,2008
Bx,Pelham,Pelham Bay Park (6),,,['6'],Pelham Bay Park,6,1931973.0,2008
M,Flushing (Manhattan),34 St-Hudson Yards (7),,,['7'],34 St-Hudson Yards,7,,2008
M,Broadway-60 St,Rector St (R),,,['R'],Rector St,R,3051759.0,2008
M,Broadway-60 St,Cortlandt St (R),,,['R'],Cortlandt St,R,0.0,2008
M,Broadway-60 St,City Hall (R),,,['R'],City Hall,R,3205157.0,2008
M,Broadway-60 St,"Prince St (N,R)",,,"['N', 'R']",Prince St,N,4971704.0,2008
M,Broadway-60 St,"Prince St (N,R)",,,"['N', 'R']",Prince St,R,4971704.0,2008
M,Broadway-60 St,"8 St-New York University (N,R)",,,"['N', 'R']",8 St-New York University,N,5469490.0,2008
M,Broadway-60 St,"8 St-New York University (N,R)",,,"['N', 'R']",8 St-New York University,R,5469490.0,2008
M,Broadway-60 St,"23 St (N,R)",,,"['N', 'R']",23 St,N,5889298.0,2008
M,Broadway-60 St,"23 St (N,R)",,,"['N', 'R']",23 St,R,5889298.0,2008
M,Broadway-60 St,"28 St (N,R)",,,"['N', 'R']",28 St,N,3011248.0,2008
M,Broadway-60 St,"28 St (N,R)",,,"['N', 'R']",28 St,R,3011248.0,2008
M,Broadway-60 St,"49 St (N,Q,R)",,,"['N', 'Q', 'R']",49 St,N,8106715.0,2008
M,Broadway-60 St,"49 St (N,Q,R)",,,"['N', 'Q', 'R']",49 St,Q,8106715.0,2008
M,Broadway-60 St,"49 St (N,Q,R)",,,"['N', 'Q', 'R']",49 St,R,8106715.0,2008
M,Broadway-60 St,"57 St-7 Av (N,Q,R)",,,"['N', 'Q', 'R']",57 St-7 Av,N,9132165.0,2008
M,Broadway-60 St,"57 St-7 Av (N,Q,R)",,,"['N', 'Q', 'R']",57 St-7 Av,Q,9132165.0,2008
M,Broadway-60 St,"57 St-7 Av (N,Q,R)",,,"['N', 'Q', 'R']",57 St-7 Av,R,9132165.0,2008
M,Broadway-60 St,"5 Av-59 St (N,Q,R)",,,"['N', 'Q', 'R']",5 Av-59 St,N,5865430.0,2008
M,Broadway-60 St,"5 Av-59 St (N,Q,R)",,,"['N', 'Q', 'R']",5 Av-59 St,Q,5865430.0,2008
M,Broadway-60 St,"5 Av-59 St (N,Q,R)",,,"['N', 'Q', 'R']",5 Av-59 St,R,5865430.0,2008
M,Nassau St,"Broad St (J,Z)",,,"['J', 'Z']",Broad St,J,1866784.0,2008
M,Nassau St,"Broad St (J,Z)",,,"['J', 'Z']",Broad St,Z,1866784.0,2008
M,Nassau St,"Bowery (J,Z)",,,"['J', 'Z']",Bowery,J,938115.0,2008
M,Nassau St,"Bowery (J,Z)",,,"['J', 'Z']",Bowery,Z,938115.0,2008
M,14 St,3 Av (L),,,['L'],3 Av,L,1825033.0,2008
M,14 St,1 Av (L),,,['L'],1 Av,L,6201745.0,2008
M,6 Av,"Grand St (B,D)",,,"['B', 'D']",Grand St,B,7916118.0,2008
M,6 Av,"Grand St (B,D)",,,"['B', 'D']",Grand St,D,7916118.0,2008
M,6 Av,East Broadway (F),,,['F'],East Broadway,F,4281913.0,2008
M,6 Av,2 Av (F),,,['F'],2 Av,F,5845342.0,2008
M,6 Av,"23 St (F,M)",,,"['F', 'M']",23 St,F,7565129.0,2008
M,6 Av,"23 St (F,M)",,,"['F', 'M']",23 St,M,7565129.0,2008
M,6 Av,"47-50 Sts-Rockefeller Center (B,D,F,M)",,,"['B', 'D', 'F', 'M']",47-50 Sts-Rockefeller Center,B,17477350.0,2008
M,6 Av,"47-50 Sts-Rockefeller Center (B,D,F,M)",,,"['B', 'D', 'F', 'M']",47-50 Sts-Rockefeller Center,D,17477350.0,2008
M,6 Av,"47-50 Sts-Rockefeller Center (B,D,F,M)",,,"['B', 'D', 'F', 'M']",47-50 Sts-Rockefeller Center,F,17477350.0,2008
M,6 Av,"47-50 Sts-Rockefeller Center (B,D,F,M)",,,"['B', 'D', 'F', 'M']",47-50 Sts-Rockefeller Center,M,17477350.0,2008
M,8 Av,"Canal St (A,C,E)",,,"['A', 'C', 'E']",Canal St,A,5537713.0,2008
M,8 Av,"Canal St (A,C,E)",,,"['A', 'C', 'E']",Canal St,C,5537713.0,2008
M,8 Av,"Canal St (A,C,E)",,,"['A', 'C', 'E']",Canal St,E,5537713.0,2008
M,8 Av,"Spring St (C,E)",,,"['C', 'E']",Spring St,C,3399017.0,2008
M,8 Av,"Spring St (C,E)",,,"['C', 'E']",Spring St,E,3399017.0,2008
M,8 Av,"23 St (C,E)",,,"['C', 'E']",23 St,C,7060491.0,2008
M,8 Av,"23 St (C,E)",,,"['C', 'E']",23 St,E,7060491.0,2008
M,8 Av,"34 St-Penn Station (A,C,E)",,,"['A', 'C', 'E']",34 St-Penn Station,A,26013432.0,2008
M,8 Av,"34 St-Penn Station (A,C,E)",,,"['A', 'C', 'E']",34 St-Penn Station,C,26013432.0,2008
M,8 Av,"34 St-Penn Station (A,C,E)",,,"['A', 'C', 'E']",34 St-Penn Station,E,26013432.0,2008
M,8 Av,"50 St (C,E)",,,"['C', 'E']",50 St,C,6014215.0,2008
M,8 Av,"50 St (C,E)",,,"['C', 'E']",50 St,E,6014215.0,2008
M,53 St,"7 Av (B,D,E)",,,"['B', 'D', 'E']",7 Av,B,4407607.0,2008
M,53 St,"7 Av (B,D,E)",,,"['B', 'D', 'E']",7 Av,D,4407607.0,2008
M,53 St,"7 Av (B,D,E)",,,"['B', 'D', 'E']",7 Av,E,4407607.0,2008
M,53 St,"5 Av-53 St (E,M)",,,"['E', 'M']",5 Av-53 St,E,7488443.0,2008
M,53 St,"5 Av-53 St (E,M)",,,"['E', 'M']",5 Av-53 St,M,7488443.0,2008
M,63 St,57 St (F),,,['F'],57 St,F,4559484.0,2008
M,63 St,Lexington Av-63 St (F),,,['F'],Lexington Av-63 St,F,3951573.0,2008
M,63 St,Roosevelt Island (F),,,['F'],Roosevelt Island,F,1929468.0,2008
M,2 Ave,72 St (Q),,,['Q'],72 St,Q,,2008
M,2 Ave,86 St (Q),,,['Q'],86 St,Q,,2008
M,2 Ave,96 St (Q),,,['Q'],96 St,Q,,2008
M,8 Av/Central Pk W,"72 St (B,C)",,,"['B', 'C']",72 St,B,2750338.0,2008
M,8 Av/Central Pk W,"72 St (B,C)",,,"['B', 'C']",72 St,C,2750338.0,2008
M,8 Av/Central Pk W,"81 St-Museum of Natural History (B,C)",,,"['B', 'C']",81 St-Museum of Natural History,B,4073856.0,2008
M,8 Av/Central Pk W,"81 St-Museum of Natural History (B,C)",,,"['B', 'C']",81 St-Museum of Natural History,C,4073856.0,2008
M,8 Av/Central Pk W,"86 St (B,C)",,,"['B', 'C']",86 St,B,3288494.0,2008
M,8 Av/Central Pk W,"86 St (B,C)",,,"['B', 'C']",86 St,C,3288494.0,2008
M,8 Av/Central Pk W,"96 St (B,C)",,,"['B', 'C']",96 St,B,2583733.0,2008
M,8 Av/Central Pk W,"96 St (B,C)",,,"['B', 'C']",96 St,C,2583733.0,2008
M,8 Av/Central Pk W,"103 St (B,C)",,,"['B', 'C']",103 St,B,1599818.0,2008
M,8 Av/Central Pk W,"103 St (B,C)",,,"['B', 'C']",103 St,C,1599818.0,2008
M,8 Av/Central Pk W,"Cathedral Pkwy-110 St (B,C)",,,"['B', 'C']",Cathedral Pkwy-110 St,B,2092340.0,2008
M,8 Av/Central Pk W,"Cathedral Pkwy-110 St (B,C)",,,"['B', 'C']",Cathedral Pkwy-110 St,C,2092340.0,2008
M,8 Av/Central Pk W,"116 St (B,C)",,,"['B', 'C']",116 St,B,1849963.0,2008
